Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Luberon music festival,Musique,Annuelle,Mai,"43.879393265,5.38921757843",Apt,Provence-Alpes-Côte d'Azur,84400,2018
Festi'val d'olt,Théâtre,Annuelle,Mai,"44.5107452501,3.74294007436",Le Bleymard,Occitanie,48190,2004
Rencontres cinémaginaire d’argelès-sur-mer,Cinéma,Annuelle,Mai,"42.5352193463,3.02429862885",Argeles Sur Mer,Occitanie,66700,1986
Nuits sonores,Musique,Annuelle,Mai,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2003
Moissons rock,Musique,Annuelle,Mai,"49.0158806281,4.27525107126",Juvigny,Grand Est,51150,1995
Made festival,Musique,Annuelle,Mai,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,2016
Ska buz festival,Musique,Annuelle,Mai,"46.8875380464,1.41254913131",Buzancais,Centre-Val de Loire,36500,2017
Dime on fest,Musique,Annuelle,Mai,"43.7119992661,7.23826889465",Nice,Provence-Alpes-Côte d'Azur,06100,2015
Festiv'impro,Théâtre,Annuelle,Mai,"48.8025669671,2.11789297191",Versailles,Île-de-France,78000,2002
Friction(s),Théâtre,Annuelle,Mai,"46.1909730986,6.24250704322",Annemasse,Auvergne-Rhône-Alpes,74100,
Big love,Musique,Annuelle,Juin,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,2015
Festival international du goéland masqué,Livre,Annuelle,Juin,"47.8121478804,-4.34003367039",Penmarch,Bretagne,29760,2001
Vyv les solidarités,Musique,Annuelle,Juin,"47.3229437965,5.03788805877",Dijon,Bourgogne-Franche-Comté,21000,2019
Psymind origins,Musique,Annuelle,Juin,"43.6648781836,5.35218247017",Rognes,Provence-Alpes-Côte d'Azur,13840,
Aix en provock,Musique,Annuelle,Mai,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,2018
Aerobd,Livre,Annuelle,Mai,"43.5502689105,4.9511813524",Istres,Provence-Alpes-Côte d'Azur,13118,2015
La nuit de l'erdre,Musique,Annuelle,Juin,"47.447122285,-1.51824792558",Nort Sur Erdre,Pays de la Loire,44390,1999
Rock ton bled,Musique,Annuelle,Juin,"43.7221234765,1.58906433836",Montastruc La Conseillere,Occitanie,31380,2009
Les traversées tatihou,Musique,Annuelle,Aout,"49.5993508281,-1.27306891683",St  Vaast La Hougue,Normandie,50550,1995
Nuits cajun de saulieu,Musique,Annuelle,Aout,"47.2840306915,4.23192469784",Saulieu,Bourgogne-Franche-Comté,21210,1994
Festival de ramatuelle,Théâtre,Annuelle,Aout,"43.2186126186,6.63754734174",Ramatuelle,Provence-Alpes-Côte d'Azur,83350,1985
Soirées lyriques de sanxay,Musique,Annuelle,Aout,"46.4960318018,-0.00840229241339",Sanxay,Nouvelle-Aquitaine,86600,
Festival de bugueles,Musique,Biennale,Juillet,"48.816014407,-3.30224745841",Penvenan,Bretagne,22710,2010
Pyrenean warriors open air,Musique,Annuelle,Septembre,"42.7533924686,3.00860614432",Torreilles,Occitanie,66440,2015
Jazz sur les places,Musique,Annuelle,Septembre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2010
Happy days,Musique,Annuelle,Septembre,"45.2540718462,5.66423363739",Fontanil Cornillon,Auvergne-Rhône-Alpes,38120,2000
Face et si,Musique,Annuelle,Septembre,"46.7104764993,-1.46129661418",Mouilleron Le Captif,Pays de la Loire,85000,1998
La rue bucolique,Théâtre,Annuelle,Aout,"49.6631647329,-1.84267363083",La Hague,Normandie,50440,2006
Etats généraux du documentaire de lussas,Cinéma,Annuelle,Aout,"44.6192177092,4.46630461903",Lussas,Auvergne-Rhône-Alpes,07170,1990
Saulxures festi lac,Musique,Annuelle,Aout,"47.9512129215,6.77493861259",Saulxures Sur Moselotte,Grand Est,88290,2017
Les troubles ville,Théâtre,Annuelle,Aout,"48.0507447506,0.467977281249",Connerre,Pays de la Loire,72160,2009
Bitter sweet (paradise) festival,Musique,Annuelle,Juillet,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Festival du film de montagne,Cinéma,Annuelle,Decembre,"45.1321769623,5.52869303726",Autrans Meaudre En Vercors,Auvergne-Rhône-Alpes,38880,1984
Biennale d’art contemporain de strasbourg,Arts visuels,Biennale,Decembre,"48.5712679849,7.76752679517",Strasbourg,Grand Est,67100,2018
Comme ca nous chante,Musique,Annuelle,Novembre,"43.7052468491,2.12929403349",Lautrec,Occitanie,81440,2014
Classiq a stains,Musique,Annuelle,Decembre,"48.9567775699,2.3854495629",Stains,Île-de-France,93240,2008
Marionnettissimo,Théâtre,Annuelle,Novembre,"43.5781918597,1.33500697752",Tournefeuille,Occitanie,31170,1998
Jazz a fareins,Musique,Annuelle,Novembre,"46.020997974,4.7620080898",Fareins,Auvergne-Rhône-Alpes,01480,2003
Festival vrrrr,Divers,Annuelle,Novembre,"43.1361589728,5.93239634249",Toulon,Provence-Alpes-Côte d'Azur,83200,2012
Scenes au bar,Théâtre,Annuelle,Mars,"49.1081133279,6.1955245421",Metz,Grand Est,57070,2002
La journee de la guitare a mutzig,Musique,Annuelle,Mars,"48.538054845,7.45530315563",Mutzig,Grand Est,67190,2017
Festival pouce !,Danse,Annuelle,Fevrier,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2012
Beautiful swamp blues festival,Musique,Annuelle,Avril,"50.9502072754,1.87575566132",Calais,Hauts-de-France,62100,2004
Ère de rien,Divers,Annuelle,Avril,"47.1762338904,-1.54966399893",Reze,Pays de la Loire,44400,2012
Bruisme,Musique,Annuelle,Juin,"46.5839207726,0.359947653003",Poitiers,Nouvelle-Aquitaine,86000,2010
Festi'veyle,Musique,Annuelle,Juin,"46.2754005606,4.96757105158",St Cyr Sur Menthon,Auvergne-Rhône-Alpes,01380,
Jazz a saint remy,Musique,Annuelle,Septembre,"43.7834249015,4.85366665286",St Remy De Provence,Provence-Alpes-Côte d'Azur,13210,2008
Pucelle,Musique,Annuelle,Septembre,"47.1566893573,0.676679379745",Ste Catherine De Fierbois,Centre-Val de Loire,37800,2014
Soirees crepuscule,Théâtre,Annuelle,Septembre,"44.0222594578,1.36408636501",Montauban,Occitanie,82000,2011
L'automne de morthomiers,Musique,Annuelle,Septembre,"47.0436630553,2.27235598629",Morthomiers,Centre-Val de Loire,18570,2012
Festival des clowns des burlesques et des excentriques,Théâtre,Annuelle,Septembre,"48.8690836308,2.42274096688",Bagnolet,Île-de-France,93170,2002
