Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Festival d’ambronay,Musique,Annuelle,Septembre,"46.0055913782,5.35760660735",Ambronay,Auvergne-Rhône-Alpes,01500,1980
Parfum de jazz,Musique,Annuelle,Aout,"44.276084918,5.27102720538",Buis Les Baronnies,Auvergne-Rhône-Alpes,26170,1999
Spirit in black,Musique,Annuelle,Aout,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,2017
Le petit festival des dindes folles,Théâtre,Biennale,Mai,"46.0065781442,4.58017136765",Rivolet,Auvergne-Rhône-Alpes,69640,1996
Val d'aulnay,Musique,Annuelle,Mai,"48.7681690197,2.26282598525",Chatenay Malabry,Île-de-France,92290,
Festival fumetti,Livre,Annuelle,Juin,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,
"Parade(s), festival des arts de la rue de nanterre",Théâtre,Annuelle,Juin,"48.8960701282,2.20671346353",Nanterre,Île-de-France,92000,1990
Musique a l'euille,Musique,Annuelle,Juin,"44.7345410468,-0.267821650496",Targon,Nouvelle-Aquitaine,33760,2009
Happy thoiry festival,Musique,Annuelle,Juin,"48.8724624004,1.79780062062",Thoiry,Île-de-France,78770,2018
Ahoy musiques de plaisance,Théâtre,Annuelle,Juin,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,
Les rutilants,Musique,Annuelle,Juin,"50.4644483399,2.99306842451",Oignies,Hauts-de-France,62590,2005
Accords & à cris,Musique,Annuelle,Juin,"48.3524697115,-1.19431177241",Fougeres,Bretagne,35300,1993
Affaire est dans l'sax,Musique,Annuelle,Juin,"48.6400443482,-1.98060627256",St Malo,Bretagne,35400,
Boogie swing 137,Musique,Annuelle,Mai,"48.3231993668,-1.83043308458",Tinteniac,Bretagne,35190,
Cabaret des 1e année,Théâtre,Annuelle,Mai,"48.8690836308,2.42274096688",Bagnolet,Île-de-France,93170,
Les courants alternatifs,Musique,Annuelle,Aout,"44.0136590402,4.41600031556",Uzes,Occitanie,30700,
Jazz sur le toit,Musique,Annuelle,Juillet,"43.2230470065,5.55117810991",Cassis,Provence-Alpes-Côte d'Azur,13260,2009
"Temps fête, festival maritime",Divers,Annuelle,Juillet,"48.0806526556,-4.32784220122",Douarnenez,Bretagne,29100,
Festival des musiques insolentes,Théâtre,Annuelle,Aout,"43.4814630298,6.35892744946",Lorgues,Provence-Alpes-Côte d'Azur,83510,2004
Festi'rance,Musique,Annuelle,Juillet,"48.4914561731,-2.01805917808",St Samson Sur Rance,Bretagne,22100,
Les belles journées,Musique,Annuelle,Septembre,"45.6022027954,5.27393762111",Bourgoin Jallieu,Auvergne-Rhône-Alpes,38300,2015
Emergence a lyon,Musique,Annuelle,Septembre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2010
Uriage en voix,Musique,Annuelle,Septembre,"45.1533114965,5.85697188801",St Martin D Uriage,Auvergne-Rhône-Alpes,38410,2002
Festival rue dell arte,Théâtre,Annuelle,Septembre,"48.3581980369,-2.63225581837",Moncontour,Bretagne,22510,2006
Détours en tournugeois,Théâtre,Annuelle,Aout,"46.5651726015,4.90012429206",Tournus,Bourgogne-Franche-Comté,71700,1999
Place aux artistes,Musique,Annuelle,Juillet,"48.6542475006,-2.84382337656",St Quay Portrieux,Bretagne,22410,2002
Festival off-courts de trouville,Cinéma,Annuelle,Septembre,"49.3721246762,0.102123470052",Trouville Sur Mer,Normandie,14360,2000
Electro alternativ,Musique,Annuelle,Septembre,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2005
Festival international des cinémas d’asie,Cinéma,Annuelle,Fevrier,"47.6320408648,6.1548458149",Vesoul,Bourgogne-Franche-Comté,70000,1995
Zion garden collection hiver,Musique,Annuelle,Fevrier,"44.1622496736,4.62477380854",Bagnols Sur Ceze,Occitanie,30200,2012
Hot club jazz festival,Musique,Annuelle,Avril,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,
Biennale de danse du val-de-marne,Danse,Biennale,Mars,"48.7882828307,2.39412680533",Vitry Sur Seine,Île-de-France,94400,
Printemps du livre,Livre,Annuelle,Mars,"45.1821215167,5.72133051752",Grenoble,Auvergne-Rhône-Alpes,38000,2003
Amis du jazz traditionnel,Musique,Annuelle,Mars,"44.2556674573,4.83716476858",Rochegude,Auvergne-Rhône-Alpes,26790,
Festival 48 images seconde - florac,Cinéma,Annuelle,Avril,"44.3162079295,3.58273527435",Florac Trois Rivières,Occitanie,48400,2010
Périphérique,Musique,Annuelle,Avril,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,2018
Festival du film panafricain,Cinéma,Annuelle,Avril,"43.5526202843,7.00427592728",Cannes,Provence-Alpes-Côte d'Azur,06400,
Jazz so nord,Musique,Annuelle,Fevrier,"47.5311263676,0.647449146554",Rouziers De Touraine,Centre-Val de Loire,37360,2013
Regards noirs,Livre,Annuelle,Fevrier,"46.328260242,-0.465353019369",Niort,Nouvelle-Aquitaine,79000,2010
Festival international du film de comédie de l’alpe d’huez,Cinéma,Annuelle,Janvier,"45.0969425761,6.08474810987",Huez,Auvergne-Rhône-Alpes,38750,1998
Festival paco tyson,Musique,Annuelle,Avril,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,2017
Xarnegu eguna,Musique,Annuelle,Avril,"43.4681224323,-1.22301840969",Bardos,Nouvelle-Aquitaine,64520,2005
Journées de la bd,Livre,Annuelle,Avril,"47.2229017049,-1.8250130027",Le Pellerin,Pays de la Loire,44640,1989
Acoustic festival,Musique,Annuelle,Mars,"46.769919754,-1.50488626452",Le Poire Sur Vie,Pays de la Loire,85170,2010
Festival de la bd de colmar,Livre,Annuelle,Mars,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,2003
Les musicales de colmar,Musique,Annuelle,Mai,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,1953
Saperlipopette,Théâtre,Annuelle,Mai,"43.6134409138,3.86851657896",Montpellier,Occitanie,34080,1998
Metal culture(s),Musique,Annuelle,Mai,"46.1632121428,1.87078672735",Gueret,Nouvelle-Aquitaine,23000,2011
Festival odp,Musique,Annuelle,Juin,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2015
Coming of rock,Musique,Annuelle,Juin,"47.1549185878,6.73440290446",Le Russey,Bourgogne-Franche-Comté,25210,2015
Ida y vuelta,Musique,Annuelle,Juin,"42.6965954131,2.89936953979",Perpignan,Occitanie,66000,
Festival quartier du livre,Livre,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2015
Tempos du monde,Musique,Annuelle,Mai,"43.7464083139,-1.08127980711",St Paul Les Dax,Nouvelle-Aquitaine,40990,2000
Wine nat / white heat,Musique,Annuelle,Mai,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,2015
Gypsy lyon festival,Musique,Annuelle,Mai,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2010
Assises internationales du roman,Livre,Annuelle,Mai,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2007
Villette sonique,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2006
Festivrac,Musique,Annuelle,Juillet,"46.4422864477,4.92862459427",Pont De Vaux,Auvergne-Rhône-Alpes,01190,1993
Bay car blues,Musique,Annuelle,Novembre,"51.0167874642,2.29071143357",Grande Synthe,Hauts-de-France,59760,2002
Haute fréquence,Musique,Annuelle,Novembre,"49.9009532186,2.29007445539",Amiens,Hauts-de-France,80000,2006
Au fil de la marionnette,Théâtre,Annuelle,Novembre,"43.1560871189,-0.587546244432",Oloron Ste Marie,Nouvelle-Aquitaine,64400,
Jazz à caudéran,Musique,Annuelle,Novembre,"44.8322953289,-0.681733084891",Merignac,Nouvelle-Aquitaine,33700,2017
Sorties de bain,Théâtre,Annuelle,Juillet,"48.8327078372,-1.56670866413",Granville,Normandie,50400,2003
Cultures et traditions du monde,Musique,Annuelle,Juillet,"45.0547531985,5.03797756012",Romans Sur Isere,Auvergne-Rhône-Alpes,26100,
Fête des sottises !,Théâtre,Annuelle,Juillet,"43.4683239252,-0.917789447505",Salies De Bearn,Nouvelle-Aquitaine,64270,2009
Festival jean ferrat,Musique,Annuelle,Juillet,"44.7393183247,4.35517589387",Antraigues,Auvergne-Rhône-Alpes,07530,2011
Rencontres internationales de musique médiévale du thoronet,Musique,Annuelle,Juillet,"43.458933028,6.28265623456",Le Thoronet,Provence-Alpes-Côte d'Azur,83340,1991
Nuits de la guitare a patrimonio,Musique,Annuelle,Juillet,"42.7066867042,9.3670488048",Patrimonio,Corse,20253,1990
Les suds a arles,Musique,Annuelle,Juillet,"43.5468692378,4.66215642574",Arles,Provence-Alpes-Côte d'Azur,13123,1996
Les nuits bressanes,Musique,Annuelle,Juillet,"46.6351883548,5.23839292789",Louhans,Bourgogne-Franche-Comté,71500,2011
Renc'arts à pornichet,Musique,Annuelle,Juillet,"47.2615791665,-2.31415650821",Pornichet,Pays de la Loire,44380,1996
Festival messiaen au pays de la meije,Musique,Annuelle,Juillet,"45.0601102401,6.28406977587",La Grave,Provence-Alpes-Côte d'Azur,05320,1998
Mysteres de l'ouest,Théâtre,Annuelle,Juillet,"47.353750697,-3.23035128949",Sauzon,Bretagne,56360,2013
Festival 48ème de rue,Théâtre,Annuelle,Juillet,"44.5294508592,3.48086881176",Mende,Occitanie,48000,2006
Faites l'europe / fete de l'europe,Divers,Annuelle,Juillet,"47.9867116879,2.78217519303",Amilly,Centre-Val de Loire,45200,2005
Nuits estivales du chateau,Théâtre,Annuelle,Juillet,"43.6185304023,6.96494426706",Mouans Sartoux,Provence-Alpes-Côte d'Azur,06370,2003
Fete de la conque,Musique,Annuelle,Juillet,"43.7384640641,7.10194436087",Vence,Provence-Alpes-Côte d'Azur,06140,
Music in - music aout,Musique,Annuelle,Aout,"48.6905674036,7.78483478217",Hoerd,Grand Est,67720,2005
La route du rock,Musique,Annuelle,Aout,"48.6400443482,-1.98060627256",St Malo,Bretagne,35400,1991
Festival de musique d'erbalunga,Musique,Annuelle,Aout,"42.7792996993,9.45029993821",Brando,Corse,20222,1989
Festival de musique sacrée de perpignan,Musique,Annuelle,Avril,"42.6965954131,2.89936953979",Perpignan,Occitanie,66000,1987
Outbreak metal fest,Musique,Annuelle,Avril,"47.5817013938,1.30625551583",Blois,Centre-Val de Loire,41000,2018
Do disturb,Divers,Annuelle,Avril,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2015
Rares talents,Musique,Annuelle,Mars,"48.8633175054,2.44816211857",Montreuil,Île-de-France,93100,2012
Salon du livre jeunesse d'eaubonne,Livre,Annuelle,Mars,"48.9909940165,2.27800925488",Eaubonne,Île-de-France,95600,1984
Salaise blues festival,Musique,Annuelle,Mars,"45.3442511828,4.80860532784",Salaise Sur Sanne,Auvergne-Rhône-Alpes,38150,1988
Blues en mars,Musique,Annuelle,Mars,"50.7056367285,3.21628221056",Wattrelos,Hauts-de-France,59150,2012
Festival de géopolitique de grenoble,Divers,Annuelle,Mars,"45.1821215167,5.72133051752",Grenoble,Auvergne-Rhône-Alpes,38000,2009
Festival reflets du cinéma,Cinéma,Annuelle,Mars,"48.0608565468,-0.766005687142",Laval,Pays de la Loire,53000,
Jazz naturel,Musique,Annuelle,Mars,"43.4943173399,-0.779874853399",Orthez,Nouvelle-Aquitaine,64300,1994
Les nuits de la roulotte,Théâtre,Annuelle,Mars,"45.583182552,5.90903392417",Chambery,Auvergne-Rhône-Alpes,73000,2003
Bd à bastia - rencontres de la bande dessinée & de l’illustration,Livre,Annuelle,Avril,"42.6864768806,9.42502133338",Bastia,Corse,20200,1994
Festival déam’bulle,Livre,Annuelle,Avril,"47.2615791665,-2.31415650821",Pornichet,Pays de la Loire,44380,2018
Festirues,Théâtre,Annuelle,Avril,"44.0410936254,-0.888623636398",Morcenx,Nouvelle-Aquitaine,40110,2002
Le printemps de bourges,Musique,Annuelle,Avril,"47.0749572013,2.40417137557",Bourges,Centre-Val de Loire,18000,1977
Festival l'autre cirque,Théâtre,Annuelle,Avril,"44.758262486,4.97623533568",Eurre,Auvergne-Rhône-Alpes,26400,2017
Tournee europavox,Musique,Annuelle,Mai,"45.7856492991,3.11554542903",Clermont Ferrand,Auvergne-Rhône-Alpes,63100,
Les 3 eléphants,Musique,Annuelle,Mai,"48.0608565468,-0.766005687142",Laval,Pays de la Loire,53000,1998
Moca festival,Divers,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2016
Salon du livre d'alençon,Livre,Annuelle,Mai,"48.4318193082,0.0915406916107",Alencon,Normandie,61000,1996
Sirocco,Divers,Annuelle,Septembre,"42.6965954131,2.89936953979",Perpignan,Occitanie,66000,2000
Coup de chauffe,Théâtre,Annuelle,Septembre,"45.6962326551,-0.33507941815",Cognac,Nouvelle-Aquitaine,16100,1995
Rock'n'fer,Musique,Annuelle,Aout,"49.3058767055,6.14931216735",Uuckange,Grand Est,57270,2010
Tribal festival,Musique,Annuelle,Aout,"43.6305294544,6.88166520884",Peymeinade,Provence-Alpes-Côte d'Azur,06530,2008
Les rias,Théâtre,Annuelle,Aout,"47.8561303355,-3.55642894655",Quimperle,Bretagne,29300,2009
Les foliescenies,Musique,Annuelle,Aout,"43.1013456235,0.962933495319",Salies Du Salat,Occitanie,31260,2017
Désertival,Musique,Annuelle,Aout,"42.6774223178,2.61639804475",Ille Sur Tet,Occitanie,66130,
Demi festival,Musique,Annuelle,Aout,"43.3917705831,3.64705148296",Sete,Occitanie,34200,2016
Le festival de théâtre de phalsbourg,Théâtre,Annuelle,Juillet,"48.7666597988,7.26359977418",Phalsbourg,Grand Est,57370,1981
Festival zinzan,Musique,Annuelle,Aout,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2008
Longevity festival,Musique,Annuelle,Aout,"48.5712679849,7.76752679517",Strasbourg,Grand Est,67100,2013
Silhouette – festival de courts en plein-air de paris,Cinéma,Annuelle,Aout,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2002
Festival du nouveau théâtre populaire,Théâtre,Annuelle,Aout,"47.4829167789,-0.174198642479",Les Bois D Anjou,Pays de la Loire,49250,2009
Festival les aeriennes,Musique,Annuelle,Aout,"44.5294508592,3.48086881176",Mende,Occitanie,48000,2017
Hop pop hop,Musique,Annuelle,Septembre,"47.8828634214,1.91610357477",Orleans,Centre-Val de Loire,45100,2016
L'effet papillon a martignas sur jalle,Musique,Annuelle,Septembre,"44.8450267218,-0.795499117928",Martignas Sur Jalle,Nouvelle-Aquitaine,33127,2016
Festi'arts de la rue,Théâtre,Annuelle,Septembre,"47.3232368527,-2.1467366036",Montoir De Bretagne,Pays de la Loire,44550,2008
Awaranda,Musique,Annuelle,Septembre,"46.2165272056,4.07699692762",Iguerande,Bourgogne-Franche-Comté,71340,1999
Salon international d'art d'argelès-sur-mer,Arts visuels,Annuelle,Septembre,"42.5352193463,3.02429862885",Argeles Sur Mer,Occitanie,66700,
Jazz a monterblanc,Musique,Annuelle,Septembre,"47.7315728601,-2.69647257441",Monterblanc,Bretagne,56250,2007
Festival de la voix a chateauroux,Musique,Annuelle,Mai,"46.8029617828,1.69399812001",Chateauroux,Centre-Val de Loire,36000,2006
Clap your hands,Musique,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2011
Versailles jazz festival,Musique,Annuelle,Mai,"48.8025669671,2.11789297191",Versailles,Île-de-France,78000,2004
Pelpass festival,Musique,Annuelle,Mai,"48.5712679849,7.76752679517",Strasbourg,Grand Est,67100,2016
Les rendez vous de saint lyphard,Théâtre,Annuelle,Mai,"48.1842560568,0.634694806211",La Ferte Bernard,Pays de la Loire,72400,2009
Cicada festival,Musique,Annuelle,Mai,"44.0136590402,4.41600031556",Uzes,Occitanie,30700,2017
Festival du tonton,Musique,Annuelle,Mai,"45.5646344835,5.03134323358",Oytier St Oblas,Auvergne-Rhône-Alpes,38780,2011
Namaste a aspres sur buech,Musique,Annuelle,Juin,"44.5617512104,5.77203298744",Aspres Sur Buech,Provence-Alpes-Côte d'Azur,05140,2017
Jazz in aiacciu,Musique,Annuelle,Juin,"41.9347926638,8.70132275974",Ajaccio,Corse,20167,2002
Paris new york heritage festival,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
On a marché sur la bulle - rendez-vous de la bande dessinée d'amiens,Livre,Annuelle,Juin,"49.9009532186,2.29007445539",Amiens,Hauts-de-France,80000,
Chapitre nature,Divers,Annuelle,Juin,"46.6346200347,1.10013221164",Le Blanc,Centre-Val de Loire,36300,
Arts en jazz a cours et jardins,Musique,Annuelle,Juin,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,
Dub station festival,Musique,Annuelle,Juin,"43.4497831674,5.26357787665",Vitrolles,Provence-Alpes-Côte d'Azur,13127,2013
Saint-emilion jazz festival,Musique,Annuelle,Juin,"44.8999911844,-0.169955105989",St Emilion,Nouvelle-Aquitaine,33330,2012
Worldwide festival,Musique,Annuelle,Juin,"43.3917705831,3.64705148296",Sete,Occitanie,34200,2006
Festival de chambord,Musique,Annuelle,Juin,"47.6160275858,1.54153082337",Chambord,Centre-Val de Loire,41250,2011
Jazz festival de munster,Musique,Annuelle,Mai,"48.0448514207,7.14149744282",Munster,Grand Est,68140,1988
Rockalissimo,Musique,Annuelle,Juin,"47.0326920185,5.33365017851",St Aubin,Bourgogne-Franche-Comté,39410,2004
Keep the faith weekender,Musique,Annuelle,Juin,"47.4811676376,6.85493983157",Audincourt,Bourgogne-Franche-Comté,25400,2015
Papillons de nuit,Musique,Annuelle,Juin,"48.7494442333,-1.11520234761",St Laurent De Cuves,Normandie,50670,2001
So good festival,Musique,Annuelle,Juin,"44.7598891584,-0.65697711026",Canejan,Nouvelle-Aquitaine,33610,2011
Gouel bro leon,Musique,Annuelle,Juin,"48.5765978002,-4.02210161181",Plouvorn,Bretagne,29420,2013
Festival ferte jazz,Musique,Annuelle,Juin,"48.9540164057,3.12762174384",La Ferte Sous Jouarre,Île-de-France,77260,2012
La tempora,Théâtre,Annuelle,Octobre,"43.1652399898,3.02023868739",Narbonne,Occitanie,11100,2011
Les celtivales,Musique,Annuelle,Octobre,"47.2194158941,6.5503792835",Pierrefontaine Les Varans,Bourgogne-Franche-Comté,25510,1997
La cuvee de parassy,Musique,Annuelle,Octobre,"47.2421364963,2.53814745107",Parassy,Centre-Val de Loire,18220,2005
Arte mare - festival du film méditerranéen de bastia,Cinéma,Annuelle,Octobre,"42.6864768806,9.42502133338",Bastia,Corse,20200,1983
Sonates d'automne,Musique,Annuelle,Octobre,"47.1281892877,1.02294110179",Beaulieu Les Loches,Centre-Val de Loire,37600,
Festival du court métrage d’humour de meudon,Cinéma,Annuelle,Octobre,"48.8037275796,2.22696287829",Meudon,Île-de-France,92190,1991
Issoudun reggae temple,Musique,Annuelle,Octobre,"46.9489390293,2.00053790133",Issoudun,Centre-Val de Loire,36100,2013
Scenes d'automne,Musique,Annuelle,Octobre,"45.6997312165,1.24152185921",St Maurice Les Brousses,Nouvelle-Aquitaine,87800,1990
Mus'iterranee,Musique,Annuelle,Octobre,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,2010
Nautic & music,Musique,Annuelle,Octobre,"41.4354987425,9.18514890376",Bonifacio,Corse,20169,
Namaste a bordeaux,Musique,Annuelle,Octobre,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2008
En ribambelle !,Théâtre,Annuelle,Octobre,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2014
Worldstock,Musique,Annuelle,Octobre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2013
Les berniques en folie,Musique,Annuelle,Octobre,"46.7093514816,-2.34712702345",Ile D'yeu,Pays de la Loire,85350,2000
Festival son de glane,Théâtre,Annuelle,Septembre,"45.9310728054,1.02303381376",Oradour Sur Glane,Nouvelle-Aquitaine,87520,2016
Festival des cinémas d'afrique du pays d'apt,Cinéma,Annuelle,Novembre,"43.879393265,5.38921757843",Apt,Provence-Alpes-Côte d'Azur,84400,2004
Festival de cinéma espagnol de marseille cinehorizontes,Cinéma,Annuelle,Novembre,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2002
Positive education,Musique,Annuelle,Novembre,"45.4301235512,4.37913997076",St Etienne,Auvergne-Rhône-Alpes,42100,2015
Rencontres cinématographiques de dijon,Cinéma,Annuelle,Novembre,"47.3229437965,5.03788805877",Dijon,Bourgogne-Franche-Comté,21000,1993
Montfort blues festival,Musique,Annuelle,Novembre,"48.1261000349,-1.9630334162",Montfort Sur Meu,Bretagne,35160,2008
Aujourd'hui musiques,Musique,Annuelle,Novembre,"42.6965954131,2.89936953979",Perpignan,Occitanie,66000,2010
Festival trace,Musique,Annuelle,Janvier,"48.8076083562,2.19234061062",Chaville,Île-de-France,92370,2001
Paris des femmes,Divers,Annuelle,Janvier,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2012
Hestiv'oc,Musique,Annuelle,Aout,"43.3200189773,-0.350337918181",Pau,Nouvelle-Aquitaine,64000,2005
Rock en seine,Musique,Annuelle,Aout,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2003
Les cheminees du rock,Musique,Annuelle,Aout,"45.8704899446,0.834066842263",Saillat Sur Vienne,Nouvelle-Aquitaine,87720,2008
Rues barrées,Théâtre,Annuelle,Aout,"47.793488225,3.58168281761",Auxerre,Bourgogne-Franche-Comté,89000,2018
Festival du livre d’une mer à l’autre,Livre,Annuelle,Septembre,"42.5130107325,3.07254121467",Collioure,Occitanie,66190,2014
Manifeste,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,1999
Festival du livre de pont saint esprit,Livre,Annuelle,Novembre,"44.2526637065,4.63901945786",Pont St Esprit,Occitanie,30130,2013
Festival caravane des cinémas d’afrique,Cinéma,Biennale,Mars,"45.7359781395,4.79343173908",Ste Foy Les Lyon,Auvergne-Rhône-Alpes,69110,
Rencontres toucouleurs,Musique,Annuelle,Avril,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2000
Big fuzz,Musique,Annuelle,Mars,"45.4419827405,-0.427614839205",Jonzac,Nouvelle-Aquitaine,17500,2005
Formula bula,Livre,Annuelle,Septembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2013
Festival du livre de mouans sartoux,Livre,Annuelle,Octobre,"43.6185304023,6.96494426706",Mouans Sartoux,Provence-Alpes-Côte d'Azur,06370,1988
Salon du livre de gaillac,Livre,Annuelle,Octobre,"43.9170968776,1.88647213801",Gaillac,Occitanie,81600,1996
Champagnole jazz festival,Musique,Annuelle,Juin,"46.7445389751,5.8988102947",Champagnole,Bourgogne-Franche-Comté,39300,2011
"Solstice, festival des arts du cirque d'antony",Théâtre,Annuelle,Juin,"48.7503412602,2.2993268102",Antony,Île-de-France,92160,2013
Arts à gahard,Musique,Annuelle,Juin,"48.2882041864,-1.52746285795",Gahard,Bretagne,35490,2013
Wanagain festival,Musique,Annuelle,Mai,"47.4135413138,5.11448988395",Clenay,Bourgogne-Franche-Comté,21490,2017
Fivestival,Théâtre,Annuelle,Mai,"50.6317183168,3.04783272312",Lille,Hauts-de-France,59160,2008
Metis plaine commune (festival metis de saint denis),Musique,Annuelle,Mai,"48.9295650455,2.3592429975",St Denis,Île-de-France,93200,2003
Buco'licques,Musique,Annuelle,Juin,"50.7962798733,1.9348768777",Licques,Hauts-de-France,62850,
La vie en reuz,Musique,Annuelle,Juin,"48.0806526556,-4.32784220122",Douarnenez,Bretagne,29100,
Sable show,Musique,Annuelle,Juillet,"49.3110756382,0.00599012303306",Villers Sur Mer,Normandie,14640,1989
Festival carre d'as,Musique,Annuelle,Novembre,"48.4471464884,1.50570610616",Chartres,Centre-Val de Loire,28000,1998
Festival legend'air,Musique,Annuelle,Novembre,"48.5801251196,-4.31293757639",Lesneven,Bretagne,29260,2015
Rock in hell,Musique,Annuelle,Decembre,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,2016
Millesime festival winter,Musique,Annuelle,Decembre,"44.8548325665,-0.521018807062",Cenon,Nouvelle-Aquitaine,33150,2018
Elfondurock,Musique,Annuelle,Mars,"48.6463321888,2.20621393661",Marcoussis,Île-de-France,91460,1996
Festival international du film policier de beaune,Cinéma,Annuelle,Avril,"47.0255189366,4.83767985985",Beaune,Bourgogne-Franche-Comté,21200,2009
Festival de guitare d’aucamville et du nord toulousain,Musique,Annuelle,Mars,"43.6713968117,1.42370910767",Aucamville,Occitanie,31140,2009
Festival fous d'archet,Musique,Biennale,Mars,"43.611551508,1.32700218407",Colomiers,Occitanie,31770,2004
Vand influences,Musique,Annuelle,Mars,"48.6579999356,6.16531229307",Vandoeuvre Les Nancy,Grand Est,54500,2011
Chant sur paroles,Musique,Annuelle,Mars,"46.0919456873,4.0633211833",Mably,Auvergne-Rhône-Alpes,42300,2008
Ai que bom festival,Musique,Annuelle,Avril,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2011
Skank my fest,Musique,Annuelle,Avril,"48.7882828307,2.39412680533",Vitry Sur Seine,Île-de-France,94400,2015
Festival ribambelle,Divers,Annuelle,Fevrier,"49.2281536645,-0.304322423176",Blainville Sur Orne,Normandie,14550,1998
Festival des arts burlesques,Théâtre,Annuelle,Fevrier,"45.4301235512,4.37913997076",St Etienne,Auvergne-Rhône-Alpes,42100,2004
Les enchanteurs,Musique,Annuelle,Fevrier,"50.4212424085,2.71263968704",Aix Noulette,Hauts-de-France,62160,2000
Jazz or jazz,Musique,Annuelle,Avril,"47.8828634214,1.91610357477",Orleans,Centre-Val de Loire,45100,2016
Rencontres du 9e art,Livre,Annuelle,Avril,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,
L'effet scènes,Divers,Irrégulière,Fevrier,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2011
Urbaines,Théâtre,Annuelle,Fevrier,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,2010
Génériq festival,Musique,Annuelle,Fevrier,"47.3229437965,5.03788805877",Dijon,Bourgogne-Franche-Comté,21000,2008
Blizzard festival,Musique,Annuelle,Fevrier,"46.8029617828,1.69399812001",Chateauroux,Centre-Val de Loire,36000,2016
Talant international blues festival,Musique,Annuelle,Mars,"47.3388300285,4.99779516001",Talant,Bourgogne-Franche-Comté,21240,2014
Drôle de carnaval,Théâtre,Annuelle,Mars,"43.5468692378,4.66215642574",Arles,Provence-Alpes-Côte d'Azur,13123,2002
Agit al sol,Musique,Annuelle,Mars,"43.2930208254,2.43699100253",Villegly,Occitanie,11600,2015
Festival du schmoul,Musique,Annuelle,Janvier,"47.8302948158,-1.67649507218",Bain De Bretagne,Bretagne,35470,2002
La folle journée,Musique,Annuelle,Janvier,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,1995
Les beaux jours de la musique,Théâtre,Annuelle,Avril,"43.4695847227,-1.55309857519",Biarritz,Nouvelle-Aquitaine,64200,2016
Page(s de printemps,Livre,Annuelle,Avril,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Printival boby lapointe,Musique,Annuelle,Avril,"43.462990168,3.41651652125",Pezenas,Occitanie,34120,2000
Terrasses du jeudi,Musique,Annuelle,Mai,"49.4413460103,1.09256784278",Rouen,Normandie,76000,2001
Dinard comedy festival (les estivales du rire),Théâtre,Annuelle,Avril,"48.6241805945,-2.0619828606",Dinard,Bretagne,35800,1998
Fiest'a sete,Musique,Annuelle,Juillet,"43.3917705831,3.64705148296",Sete,Occitanie,34200,1997
